QUERIES	CATEGORY	REPLY
My viva on 2nd june has been rescheduled to june 1. I will be reaching the lab at around 2 pm. Kindly consider.	others	
I will be arriving tommorow. When and where should I report for project allotment and other processes? 	others	
You will be allotted a project from a pool of several interesting projects being worked at in ERTS lab. Project allotment will be based on your technical expertise. 	others	
Can you please specify the information in brief with the time of availability of practice arena. As our date of the journey will be according to it.	others	
"We just want to know if we arrive IIT Bombay on 23 March after 11am, whether the sample arena that is proposed to be given for each theme for practice be available for us a day prior to competition i.e. 23 March or not?"	others	
"We have submitted our task-4, now what should be done next?Do we have a task5 or should we start working on the building of bots based on the rulebook."	others	
"Instructors, please let us know the dates for booking of flight tickets as per your schedule of FINALS."	others	
"The ESP8266 which was given to us is showing the following error suddenly from yesterday.There were no problems like this before, it was working correctly."	others	
Each member have to fill their account details on portal and only team leader have to fill the team travel details on portal.	others	
"The photos of the eYRC-2018 national finale will be available on the e-Yantra website latest by 10th April, 2018"	others	
will the competition start on 22nd March? In case we are not able to reach by morning on 22nd march will our team be disqualified?	others	
Do we have to use the same code that we uploaded or can we change the code at the final.	others	
We are having issues while testing the robot.As observed with GUI the robot's left wheel does not rotate in backward direction.	others	
The name of the shapes are overlapping on one another at a single point. How to resolve this?	others	
"Instructors, please let us know the dates for booking of flight tickets as per your schedule of FINALS."	others	
Using cv2.circle it either colors little of the black walls or if smaller radius is provides it leaves a boundary of white pixels like this.	others	
So should I make custom function for coloring the circle  or is it fine like that?	others	
"we used the obvious converter in openCV 'BGR2HSV' but it returns value of red as [  0 255 254], green as [ 60 253 255], etc... which is totally absurd! Please tell us the actual necessity of using HSV values, or that, can we use BGR values themselves? "	others	
when we are using match template followed by the appropriate functions. However the same code worked for different picture i.e. we downloaded a picture and cropped a part of it for the template.	others	
What should we put in the reference section?	others	
we are facing serious memory issues. And i think free() function dosent work! Can anyone please help me out on how to free memory? 	others	
"When we try to fill up the bank details, we get the following error written on page "	others	
We have to return to our college on 26 due to some reasons and so we need to know around when will the contest end on 25th?	others	
We have to book our tickets and wish to know the same.this is after i fill the feedback and click the submit button..	others	
How can I print float value on LCD using the library provided by eYantra ?How can I print float value on LCD using the library provided by eYantra ?	others	
"Instructors, please let us know the dates for booking of flight tickets as per your schedule of FINALS."	others	
"in cross the crator, to identify the boulder number we would use template matching, but what to do if the numbers the rotated? or will they be placed at a particular orientation?"	others	
"Do we have the choice of selecting the client/server from RPi/nodeMCU/PC.,Or do we have to make the nodeMCU as the access point and raspberry & pc "	others	
"The issue is that the dimensions are not 8 inch x 8 inch for all the cells as mentioned in rule book, the cell dimension for door area is roughly 7.5 inch x 8 inch and same is the case with the last row of the working area."	others	
The rulebook mentions that using extra sensors is strictly NOT allowed but it is ambiguous regarding actuators other than those supplied.	others	
Shall we start working on Task 5 according to the rulebook? Or there will be any specific instructions given for the same?	others	
We'll be travelling from Lucknow UP to Mumbai and to book our tickets we need a proper schedule of events.	others	
We are facing many difficulties regarding our time of arrival and stay.I have filled our arrival details according to our train tickets which are not yet confirm.	others	
s it possible for the teams to get accommodation in campus till 27 march so that they can see Mumbai because we don't go Mumbai frequently and we really want to visit some places	others	
Do we have to follow the rule book for attaching the fruits to the pipe or should we follow the picture given in the original configuration. They are both contradictory. 	others	
According to the rule book we should consider the fruit positioning by taking the first fruit towards the e yantra logo and then go clock wise.But in the diagram given to us the first fruit is placed away from the e yantra logo 	others	
we have to pick numbers from grid1 and deposit them on corresponding number in grid2. Can we pick 2 numbers at one go ?	others	
provided battery is not working so can we use auxillary power supply	battery	"you can use auxillary power supply, but during finals you have to use battery"
provided battery is not working so can we use power supply	battery	"you can use auxillary power supply, but during finals you have to use battery"
due to high current requirment for circuit our battery have burnt so can we use auxillary power supply 	battery	"you can use auxillary power supply, but during finals you have to use battery"
our battery got damaged so so can we use power supply	battery	"you can use auxillary power supply, but during finals you have to use battery"
battery is not working anymore so can we use power supply	battery	"you can use auxillary power supply, but during finals you have to use battery"
battery stop working so can we use power supply	battery	"you can use auxillary power supply, but during finals you have to use battery"
due to battery failure can we use power supply	battery	"you can use auxillary power supply, but during finals you have to use battery"
our battery is not charging so what we can do	battery	try changing your adapter
batterry burnt due to heating so can we use power supply	battery	"you can use auxillary power supply, but during finals you have to use battery"
"Respected sir/mam Our certificates have been delivered to wrong address under the, anybody from my college has received any such certificate nor opened it."	certificate	The address was exactly the same to which the robotic kit was sent during the competition.
"Respected sir/mam Our certificates have been delivered to wrong address, so please send them again please verify the address"	certificate	The address was exactly the same to which the robotic kit was sent during the competition.
Are we eligible for letter of participation ?	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
Are we eligible for certificate ?	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
Are we eligible for participation certificate ?	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
when will we get certificate	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"regarding dispatch of certificate , when will we get certificate"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"regarding dispatch of certificate, when will we receive our certificate"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"we have retuned our bot to the college but still we have not receive certificates ,when will we get certificate"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"we have retuned kits to the colllege, uploaded acknowledgement but have not received certificates"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"we have retuned kits to the colllege, uploaded acknowledgement and document under verification have not received certificates, when will we get our certificate"	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
Our certificates have been delivered to wrong address	certificate	The address was exactly the same to which the robotic kit was sent during the competition.
Our certificates have been delivered to incorrect address	certificate	The address was exactly the same to which the robotic kit was sent during the competition.
"We haven't received certificates yet on our college address, are they been delivered to wrong adddress"	certificate	The address was exactly the same to which the robotic kit was sent during the competition.
"We have not received the certificate , please check the address"	certificate	The address was exactly the same to which the robotic kit was sent during the competition.
When would we receive the certificate ?	certificate	We will send you the participation certificates at the earliest possible. We look forward to your participation in the upcoming edition of e-Yantra Robotics Competition.
"I have completed stage 1 , I just wanted to know m I eligible for letter of participasion or not"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
"I have completed stage 1 , I just wanted to know m I eligible for certificate or not"	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
May I know about the eligibility criteria for certificate ?	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
May I know about the eligibility criteria for letter of participation ?	certificate	"Check the portal for eligibility, if eligible you will receive certificates and goodies by end of month"
The batteries provided are not working 	battery	we will provide you with new batteries
The batteries provided are not working 	battery	try new batteries
battery is not charging 	battery	change your adapter
batteries are not charging 	battery	change your adapter
We would like to use auxillary power supply are we allowed to do so ?	battery	"you can use auxillary power supply, but during finals you have to use battery"
"my firebird bootloader is not working , i am unable to upload my program in it"	others	
firebird servo motor is not working	others	
spark servo motor is not working	others	
my spark bootloader is not working	others	
Drone is not working	others	
"As our battery is not working , We would like to use auxillary power supply are we allowed to do so ?"	battery	you can use new batteries or auxillary power supply
where to buy new batteries	battery	from store or try online
from where I can buy new batteries	battery	from store or try online
The output voltage of the batteries is not as per requirement	battery	Try using new batteries or use auxillary power supply
The output voltage of the batteries is quite less	battery	Try using new batteries or use auxillary power supply
The output voltage of the batteries is not upto mark	battery	Try using new batteries or use auxillary power supply
We haven't received the new batteries yet	battery	You would be provided with new batteries in few days
When would we receive new batteries ?	battery	You would be provided with new batteries in few days
When would we get new batteries ?	battery	You would be provided with new batteries in few days
I am receiving excess current warning while battery charging. I tried using a dryer to warm up the battery for 30 minutes but the problem is not fixed. What should I do ?	battery	Try warming with heater
Firebird starting showing low battery error. We put it on charging. The buzzer beeps for one second and remains off for one second. Red led also behaves in the same manner. Please help	battery	Try using new battery
The raspberry pi is not able to provide enough current to the motors.. So can we use an additional usb hub though which we can supply voltage for motor driver directly from power bank?	battery	"In case of problem, external supply is allowed"
"After the robot is connected with battery and adapter, and adapter to the mains for charging, as the adapter is switched ON , the robot indicates to have entered in battery charging mode, as green LED turns on along with one long beep two short beeps , robot is working fine on auxillary power , are we allowed to use auxillary power ?"	battery	"you can use auxillary power supply, but during finals you have to use battery"
Bot properly Works on adaptor but not on battery	battery	"try new batteries , if batteries not charging try changing your adapter"
battery is not charging 	battery	"change your adapter , or try using new baterries"
battery is not charging with adaptor	battery	"change your adapter , or try using new baterries"
5V 2A output for is not sufficient for the raspberry pi and bo motors. can we use an extra power source for bo motors? and even bo motors are too slow they are around 60 rpm	battery	"Auxillary supply is allowed, external supply is allowed in case of motors"
Current is insufficient for motors	battery	"Auxillary supply is allowed, external supply is allowed in case of motors"
current supplied by board is not sufficient for motors	battery	"Auxillary supply is allowed, external supply is allowed in case of motors"
current supplied by board is insufficient for motors	battery	"Auxillary supply is allowed, external supply is allowed in case of motors"
Current is not sufficient for motors	battery	"Auxillary supply is allowed, external supply is allowed in case of motors"
The battery provided are not working properly	battery	try  new batteries
"The robot does power on connecting the battery. When the adapter is connected as the Battery Charger Mode, the battery is charging without any problems"	battery	"Make sure you are connecting the adapter in aux pwr socket, Switch should be in AP mode"
"Batteries provided are not working , would we get new batteries ?"	battery	we will provide you with new batteries
where to buy new batteries ?	battery	you can order new batteries online
where can we buy new batteries ?	battery	you can order new batteries online
where can we find new batteries ?	battery	you can order new batteries online
where can we buy new batteries	battery	you can order new batteries online
